Attribute,Category,Type,DF_Type,Description
yearID,Informational,Interval,int64,The professional baseball season.
lgID,Informational,Nominal,object,The league to which the team was a member during the specified year.
teamID,Informational,Nominal,object,Unique identifier for the professional baseball team.
franchID,Informational,Nominal,object,Unique identifier for the professional baseball franchise.
divID,Informational,Nominal,object,The division within the league to which the team belonged during the specified year.
Rank,Informational,Ordinal,int64,The team's finishing rank in their division for the specified year.
G,Informational,Interval,int64,The number of games played by the team during the specified year.
Ghome,Informational,Interval,float64,The number of home games played by the team during the specified year.
W,Informational,Interval,int64,Games won by the team during the year.
L,Informational,Interval,int64,Games lost by the team during the year.
DivWin,Informational,Nominal,object,Binary indicator showing if the team won their division during the year.
WCWin,Informational,Nominal,object,Binary indicator showing if the team won a Wild Card Playoff game during the year.
LgWin,Informational,Nominal,object,Binary inidcator showing if the team won their league during the year.
WSWin,Informational,Nominal,object,Binary indicator showing if the team won the world series during the year.
R,Batting,Interval,int64,Total runs scored by the team during the year.
AB,Batting,Interval,int64,Total at bats by the team during the year.
H,Batting,Interval,int64,Total hist by the team during the year.
2B,Batting,Interval,int64,Total doubles by the team during the year.
3B,Batting,Interval,int64,Total triples by the team during the year.
HR,Batting,Interval,int64,Total home runs for the team during the year.
BB,Batting,Interval,float64,Total bases on balls or walks by the team during the year.
SO,Batting,Interval,float64,Total strikeouts by the team during the year.
SB,Batting,Interval,float64,Total stolen bases by the team during the year.
CS,Batting,Interval,float64,Total number of team runners caught stealing during the year.
HBP,Batting,Interval,float64,Total number of team hitters hit by a pitch during the year.
SF,Batting,Interval,float64,Total number of sacrifice flies by the team during the year.
RA,Pitching,Interval,int64,Total number of runs allowed by the team during the year.
ER,Pitching,Interval,int64,Total number of earned runs surrendered by the team during the year.
ERA,Pitching,Ratio,int64,Total team earned run average for the year.
CG,Pitching,Interval,int64,Total number of complete games pitched by the team during the year.
SHO,Pitching,Interval,int64,Total number of shutouts pitched by the team during the year.
SV,Pitching,Interval,int64,Total number of saves recorded by the team during the year.
IPouts,Pitching,Interval,int64,Total outs pitched by the team during the year.
HA,Pitching,Interval,int64,Total hits allowed by the team during the year.
HRA,Pitching,Interval,int64,Total home runs allowed by the team during the year.
BBA,Pitching,Interval,int64,Total bases on balls or walks allowed by the team during the year.
SOA,Pitching,Interval,int64,Total strikeouts allowed by the team during the year.
E,Fielding,Interval,int64,Total errors by the team during the year.
DP,Fielding,Interval,int64,Total double plays by the team during the year.
FP,Fielding,Ratio,float64,Aggregate fielding percentage by the team during the year.
name,Informational,Nominal,object,The full name of the team during the year.
park,Informational,Nominal,object,The name of the team's home ballpark during the year.
attendance,Informational,Interval,float64,Total home attendance during the year.
BPF,Informational,Ratio,int64,The three year park factor for batters.
PPF,Informational,Ratio,int64,The three year park factor for hitters.
teamIDBR,Informational,Nominal,object,Team ID used by Baseball Reference.
teamIDlahman45,Informational,Nominal,object,Team ID used in the Lahman baseball database.
teamIDretro,Informational,Nominal,object,Team ID used by Retrosheet.
